id,label
0,12
1,12
2,14
3,14
4,12
5,11
6,3
7,3
8,18
9,12
10,13
11,7
12,12
13,4
14,8
15,13
16,9
17,15
18,16
19,2
20,16
21,17
22,9
23,11
24,4
25,10
26,15
27,19
28,12
29,17
30,1
31,13
32,1
33,11
34,3
35,8
36,15
37,11
38,3
39,4
40,6
41,4
42,15
43,18
44,18
45,19
46,17
47,8
48,1
49,16
50,13
51,13
52,13
53,3
54,4
55,3
56,0
57,7
58,8
59,4
60,6
61,15
62,10
63,14
64,1
65,18
66,18
67,12
68,13
69,11
70,10
71,17
72,5
73,7
74,4
75,2
76,11
77,8
78,15
79,6
80,9
81,17
82,13
83,9
84,0
85,10
86,12
87,4
88,15
89,0
90,10
91,12
92,4
93,12
94,15
95,4
96,8
97,10
98,15
99,10
100,4
101,13
102,9
103,0
104,16
105,7
106,19
107,16
108,8
109,11
110,19
111,1
112,4
113,12
114,12
115,0
116,11
117,0
118,16
119,8
120,13
121,0
122,13
123,13
124,11
125,16
126,17
127,10
128,3
129,18
130,10
131,1
132,9
133,4
134,17
135,8
136,15
137,10
138,8
139,1
140,11
141,8
142,4
143,0
144,1
145,13
146,0
147,11
148,16
149,13
150,13
151,4
152,18
153,19
154,5
155,15
156,10
157,15
158,9
159,2
160,13
161,2
162,5
163,0
164,18
165,15
166,6
167,2
168,13
169,14
170,3
171,18
172,18
173,14
174,9
175,19
176,0
177,6
178,15
179,4
180,15
181,8
182,9
183,15
184,4
185,1
186,15
187,12
188,14
189,11
190,2
191,18
192,11
193,5
194,13
195,18
196,10
197,17
198,19
199,8
200,6
201,10
202,13
203,19
204,7
205,12
206,19
207,0
208,3
209,19
210,15
211,11
212,18
213,2
214,12
215,13
216,0
217,18
218,15
219,13
220,4
221,4
222,7
223,14
224,18
225,8
226,14
227,15
228,1
229,7
230,2
231,12
232,11
233,19
234,11
235,2
236,8
237,4
238,18
239,10
240,1
241,15
242,15
243,7
244,6
245,16
246,17
247,15
248,3
249,11
250,7
251,18
252,17
253,3
254,18
255,16
256,10
257,5
258,16
259,11
260,14
261,9
262,15
263,12
264,11
265,11
266,5
267,4
268,6
269,0
270,11
271,4
272,4
273,2
274,1
275,11
276,2
277,8
278,4
279,10
280,13
281,15
282,17
283,8
284,2
285,8
286,1
287,7
288,4
289,3
290,0
291,9
292,7
293,2
294,18
295,13
296,18
297,12
298,15
299,1
300,13
301,17
302,7
303,0
304,12
305,15
306,16
307,3
308,12
309,19
310,11
311,7
312,5
313,5
314,11
315,9
316,10
317,15
318,10
319,8
320,4
321,14
322,11
323,11
324,14
325,19
326,14
327,5
328,13
329,14
330,1
331,11
332,13
333,17
334,5
335,10
336,12
337,0
338,15
339,19
340,8
341,3
342,5
343,4
344,6
345,11
346,14
347,8
348,11
349,19
350,11
351,3
352,18
353,11
354,3
355,12
356,4
357,12
358,13
359,13
360,11
361,0
362,19
363,13
364,13
365,11
366,10
367,0
368,3
369,5
370,11
371,11
372,6
373,4
374,13
375,13
376,19
377,9
378,15
379,12
380,5
381,18
382,6
383,5
384,14
385,12
386,4
387,15
388,4
389,14
390,0
391,4
392,6
393,18
394,6
395,8
396,6
397,7
398,11
399,18
400,4
401,13
402,1
403,13
404,13
405,4
406,1
407,3
408,19
409,3
410,13
411,4
412,1
413,4
414,14
415,15
416,11
417,2
418,6
419,0
420,0
421,17
422,2
423,9
424,3
425,7
426,0
427,0
428,13
429,8
430,18
431,4
432,7
433,14
434,9
435,8
436,6
437,13
438,4
439,11
440,16
441,10
442,14
443,16
444,9
445,4
446,10
447,6
448,18
449,19
450,12
451,8
452,16
453,14
454,12
455,7
456,3
457,4
458,14
459,17
460,17
461,6
462,11
463,5
464,11
465,5
466,9
467,4
468,18
469,9
470,2
471,16
472,1
473,17
474,16
475,0
476,11
477,0
478,18
479,2
480,6
481,9
482,3
483,7
484,0
485,3
486,4
487,13
488,13
489,17
490,14
491,3
492,15
493,13
494,15
495,6
496,11
497,8
498,12
499,7
500,0
501,5
502,11
503,4
504,16
505,1
506,5
507,11
508,19
509,18
510,6
511,12
512,11
513,10
514,3
515,6
516,3
517,1
518,0
519,2
520,3
521,4
522,15
523,13
524,6
525,19
526,11
527,1
528,3
529,2
530,4
531,11
532,6
533,16
534,10
535,8
536,12
537,15
538,17
539,14
540,9
541,4
542,10
543,19
544,13
545,14
546,4
547,15
548,8
549,4
550,17
551,2
552,2
553,7
554,4
555,17
556,12
557,9
558,16
559,13
560,12
561,2
562,11
563,13
564,7
565,18
566,3
567,4
568,6
569,15
570,0
571,9
572,15
573,18
574,14
575,15
576,17
577,1
578,1
579,9
580,4
581,17
582,10
583,10
584,18
585,0
586,12
587,16
588,15
589,1
590,15
591,12
592,8
593,10
594,2
595,4
596,2
597,0
598,5
599,9
600,12
601,15
602,9
603,18
604,13
605,15
606,9
607,0
608,14
609,7
610,14
611,10
612,13
613,15
614,7
615,17
616,6
617,18
618,1
619,0
620,4
621,13
622,13
623,0
624,14
625,6
626,4
627,4
628,14
629,15
630,14
631,0
632,11
633,13
634,8
635,4
636,18
637,14
638,17
639,13
640,4
641,14
642,14
643,12
644,16
645,7
646,15
647,8
648,13
649,17
650,4
651,3
652,0
653,8
654,18
655,3
656,5
657,17
658,10
659,12
660,4
661,11
662,18
663,2
664,15
665,1
666,18
667,0
668,12
669,5
670,16
671,2
672,4
673,11
674,15
675,5
676,18
677,4
678,18
679,4
680,14
681,15
682,15
683,4
684,15
685,6
686,3
687,9
688,8
689,4
690,1
691,8
692,18
693,2
694,16
695,9
696,6
697,11
698,11
699,15
700,15
701,6
702,0
703,0
704,15
705,19
706,12
707,4
708,12
709,4
710,3
711,1
712,16
713,10
714,17
715,4
716,9
717,12
718,4
719,4
720,16
721,8
722,18
723,4
724,14
725,14
726,2
727,17
728,9
729,15
730,11
731,4
732,15
733,4
734,14
735,15
736,6
737,18
738,14
739,17
740,16
741,4
742,12
743,4
744,5
745,0
746,9
747,6
748,17
749,14
750,14
751,18
752,17
753,1
754,12
755,3
756,5
757,9
758,17
759,4
760,16
761,8
762,13
763,3
764,19
765,6
766,10
767,17
768,9
769,13
770,8
771,7
772,14
773,6
774,11
775,10
776,2
777,13
778,10
779,0
780,5
781,1
782,10
783,2
784,10
785,3
786,10
787,0
788,9
789,12
790,16
791,18
792,11
793,15
794,4
795,15
796,19
797,12
798,8
799,8
800,13
801,18
802,5
803,2
804,3
805,15
806,14
807,19
808,16
809,16
810,16
811,10
812,14
813,1
814,11
815,11
816,0
817,7
818,3
819,4
820,11
821,18
822,1
823,19
824,5
825,1
826,6
827,0
828,11
829,6
830,17
831,3
832,19
833,0
834,3
835,5
836,0
837,4
838,4
839,18
840,1
841,4
842,6
843,15
844,12
845,1
846,1
847,0
848,6
849,0
850,9
851,12
852,12
853,13
854,14
855,11
856,18
857,7
858,13
859,11
860,1
861,18
862,14
863,12
864,10
865,4
866,2
867,11
868,16
869,6
870,3
871,10
872,3
873,17
874,0
875,4
876,10
877,7
878,18
879,13
880,19
881,5
882,11
883,12
884,3
885,13
886,3
887,8
888,3
889,9
890,3
891,1
892,15
893,10
894,8
895,10
896,3
897,14
898,0
899,0
900,0
901,2
902,1
903,15
904,5
905,9
906,0
907,2
908,14
909,19
910,13
911,17
912,4
913,10
914,0
915,11
916,11
917,19
918,7
919,2
920,7
921,17
922,6
923,4
924,10
925,18
926,10
927,5
928,2
929,4
930,7
931,7
932,17
933,12
934,10
935,5
936,14
937,11
938,18
939,17
940,4
941,13
942,14
943,5
944,16
945,11
946,14
947,3
948,11
949,6
950,16
951,3
952,10
953,12
954,11
955,8
956,18
957,4
958,3
959,18
960,8
961,18
962,3
963,17
964,18
965,13
966,11
967,10
968,18
969,8
970,15
971,10
